Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
847,-1.12403,1.12865
848,-2.16719,1.89871
849,0.0057795,0.00952195
850,-0.178055,0.178059
851,-1.62906,1.61574
852,-1.12853,1.12853
853,-1.01825,1.0185
854,-6.20557e-09,6.20611e-09
855,-1.45846,1.45846
856,-0.181727,0.190457
857,0.0767621,0.0768412
858,-0.00225811,0.0026866
859,-0.28038,0.293979
860,-0.122939,0.122951
861,-0.00702025,0.00804313
862,-0.0147646,0.0103297
863,-0.000280013,0.000280019
864,-6.26303e-05,9.07697e-05
865,0.00969763,0.0829697
866,-0.0106357,0.0106353
867,0.0080668,0.00804247
868,-0.00565444,0.00566176
869,0.0540962,0.0493432
870,-0.00556531,0.00566467
871,-0.0635443,0.0799389
872,0.000370542,0.0562293
873,0.0941844,0.0943424
874,0.0763343,0.108962
875,0.0586358,0.0664615
876,0.226739,0.209164
877,0.100379,0.104719
878,-0.000674445,0.142709
879,-0.100115,0.114681
880,0.0188815,0.0609313
881,0.0759858,0.0811684
882,0.0604351,0.0742965
883,0.0278426,0.0978543
884,0.08346,0.15524
885,-0.0163645,0.122305
886,0.00689656,0.00689591
887,-1.19634e-10,1.19633e-10
888,-3.08866e-08,3.08867e-08
889,0.0121237,0.0121236
890,0.0622201,0.0518543
891,-0.00191121,0.00191123
892,9.99395e-10,9.994e-10
893,-0.00130593,0.00130593
894,-0.00196754,0.00205984
895,-2.46779e-07,2.46781e-07
896,-0.000195746,0.000195747
897,-2.19001e-10,2.19001e-10
898,4.0599e-06,4.0599e-06
899,4.94811e-09,5.16894e-09
900,0.000303789,0.000286789
901,-1.30255,1.32428
902,-2.87019,2.84545
903,-0.549765,0.549518
904,-0.103155,0.103164
905,-0.00544383,0.005444
906,-1.71633,1.7101
907,-0.580037,0.580097
908,-0.000116273,0.000116273
909,-0.0389482,0.0540771
910,0.0757159,0.0811804
911,-2.51865,2.01532
912,-2.21524,1.93675
913,-1.49541,1.49646
914,0.00667705,0.0370373
915,-0.179305,0.18
916,0.055524,0.109546
917,0.174602,0.174584
918,0.123927,0.135835
919,0.108622,0.130359
920,-0.611574,0.759603
921,-1.11623,1.13063
922,-1.64498,1.71044
923,-1.61369,1.743
924,-0.437102,0.455241
925,-2.87831,2.28446
926,-0.604467,0.616584
927,0.085825,0.14523
928,0.0226569,0.0264687
929,0.101273,0.166194
930,-0.151586,0.248459
931,-1.63373,1.43937
932,0.0682099,0.195948
933,-1.80034,2.01186
934,-0.646752,0.811268
935,-1.13447,1.52617
936,-0.458669,0.625995
937,0.151391,0.175706
938,-0.899119,0.896754
939,-0.209337,0.350912
940,-0.1173,0.279658
941,-0.0802473,0.278743
942,-0.539207,0.600976
943,-0.817136,1.03087
944,-1.898,2.06592
945,-0.977281,1.18054
946,6.27961e-10,5.70045e-10
947,-0.206551,0.245646
948,0.00648442,0.00655318
949,1.59556e-07,1.60385e-07
950,0.00879628,0.00995991
951,-2.20587e-15,2.05952e-15
952,2.57315e-05,2.57315e-05
953,-8.53756e-06,8.53748e-06
954,0.000113889,0.000113889
955,-0.000963166,0.000963166
956,-6.88412e-15,6.89062e-15
957,-2.34134e-05,2.44925e-05
958,0.000278096,0.000321158
959,0.1422,0.1422
960,-0.499037,0.574361
961,-0.171589,0.171588
962,-0.00342512,0.0034239
963,-1.98923e-09,1.90581e-09
964,-0.00884127,0.00931897
965,-0.0445113,0.0503232
966,0.00140554,0.00140614
967,-0.472347,0.472341
968,-0.552283,0.552283
969,0.128336,0.128336
970,0.0148299,0.0148861
971,-8.8978e-05,8.846e-05
972,-4.46819e-06,4.46819e-06
973,-0.00131397,0.00131397
974,-0.000505123,0.000505095
